Road,Lane,Hour,Direction,Valid,Date,Average_Speed,Average_Occupancy,Total_Volume,,No
New Clear Water Bay Road Eastbound,Slow Lane,1,South East,Y,1/3/2025,69.86666667,0.211111111,13,,No
New Clear Water Bay Road Westbound,Fast Lane,1,South,Y,1/3/2025,61.18888889,1.288888889,79,,No
New Clear Water Bay Road Westbound,Fast Lane,1,North West,Y,1/3/2025,57.76666667,1.066666667,77,,No
New Clear Water Bay Road Westbound,Slow Lane,1,North West,Y,1/3/2025,55.82222222,1.433333333,120,,No
New Clear Water Bay Road Westbound,Fast Lane,1,West,Y,1/3/2025,72.68333333,1.066666667,162,,No
New Clear Water Bay Road Westbound,Slow Lane,1,West,Y,1/3/2025,62.52222222,1.133333333,79,,No
Prince Edward Road Northeastbound,Fast Lane,1,North East,Y,1/3/2025,77.83888889,1.144444444,297,,No
Prince Edward Road Northeastbound,Slow Lane,1,North East,Y,1/3/2025,75.4,2.705555556,418,,No
Prince Edward Road Northeastbound,Middle Lane,1,North East,Y,1/3/2025,84.73333333,2.433333333,187,,No
Prince Edward Road Southeastbound,Fast Lane,1,South West,Y,1/3/2025,84.82222222,3.2,263,,No
Prince Edward Road Southeastbound,Slow Lane,1,South West,Y,1/3/2025,77.8,0.877777778,81,,No
New Clear Water Bay Road Eastbound,Fast Lane,1,East,N,1/3/2025,67.25,1,2,,No
New Clear Water Bay Road Eastbound,Slow Lane,1,East,N,1/3/2025,70,0,0,,No
Kwun Tong Road Eastbound,Fast Lane,1,South,N,1/3/2025,70.5,1,12,,No
Kwun Tong Road Eastbound,Middle Lane,1,South,N,1/3/2025,66.83333333,0.833333333,11,,No
Kwun Tong Road Eastbound,Slow Lane,1,South,N,1/3/2025,70,0,0,,No
Kwun Tong Road Westbound,Fast Lane,2,North West,Y,1/3/2025,59.79302326,0.834883721,545,,No
Kwun Tong Road Westbound,Middle Lane 1,2,North West,Y,1/3/2025,58.8255814,1.063953488,714,,No
Kwun Tong Road Westbound,Middle Lane 2,2,North West,Y,1/3/2025,59.49127907,0.651162791,438,,No
Kwun Tong Road Westbound,Slow Lane,2,North West,Y,1/3/2025,57.74883721,0.574418605,325,,No
Kwun Tong Road Westbound,Fast Lane,2,North,Y,1/3/2025,78.20930233,1.465116279,189,,No
Kwun Tong Road Westbound,Middle Lane,2,North,Y,1/3/2025,71.46511628,0.895348837,158,,No
Kwun Tong Road Westbound,Slow Lane,2,North,Y,1/3/2025,69.20930233,0.069767442,24,,No
Kwun Tong Road Westbound,Middle Lane 3,2,North West,Y,1/3/2025,73.09302326,0.209302326,117,,No
Kwun Tong Road Westbound,Middle Lane 4,2,North West,Y,1/3/2025,74.44186047,1.360465116,310,,No
Kwun Tong Road Eastbound,Fast Lane,2,South East,Y,1/3/2025,66.27131783,1.372093023,977,,No
Kwun Tong Road Eastbound,Middle Lane,2,South East,Y,1/3/2025,58.37209302,1.151162791,377,,No
Kwun Tong Road Eastbound,Slow Lane,2,South East,Y,1/3/2025,58.01550388,0.84496124,627,,No
Kwun Tong Road Eastbound,Middle Lane 1,2,South East,Y,1/3/2025,59.59689922,0.523255814,257,,No
Kwun Tong Road Eastbound,Middle Lane 2,2,South East,Y,1/3/2025,64.79844961,2.228682171,726,,No
Kwun Tong Road Eastbound,Fast Lane,2,South,Y,1/3/2025,73.22093023,1.837209302,544,,No
Kwun Tong Road Eastbound,Middle Lane,2,South,Y,1/3/2025,68.30232558,0.447674419,212,,No
Kwun Tong Road Eastbound,Slow Lane,2,South,Y,1/3/2025,59.81395349,0.122093023,42,,No
New Clear Water Bay Road Eastbound,Fast Lane,2,East,Y,1/3/2025,70.94186047,0.25,54,,No
New Clear Water Bay Road Eastbound,Middle Lane,2,East,Y,1/3/2025,67.43023256,1.76744186,127,,No
New Clear Water Bay Road Eastbound,Slow Lane,2,East,Y,1/3/2025,69.41860465,0.441860465,46,,No
New Clear Water Bay Road Eastbound,Fast Lane,2,North West,Y,1/3/2025,66.63953488,0.151162791,15,,No
New Clear Water Bay Road Eastbound,Slow Lane,2,North West,Y,1/3/2025,63.8372093,0.348837209,31,,No
New Clear Water Bay Road Eastbound,Fast Lane,2,South East,Y,1/3/2025,73.10714286,0.333333333,35,,No
New Clear Water Bay Road Eastbound,Middle Lane,2,South East,Y,1/3/2025,72.08333333,1.345238095,118,,No
New Clear Water Bay Road Eastbound,Slow Lane,2,South East,Y,1/3/2025,69.6547619,0.130952381,7,,No
New Clear Water Bay Road Westbound,Fast Lane,2,South,Y,1/3/2025,56.95348837,0.441860465,29,,No
New Clear Water Bay Road Westbound,Fast Lane,2,North West,Y,1/3/2025,56.08139535,0.697674419,55,,No
New Clear Water Bay Road Westbound,Slow Lane,2,North West,Y,1/3/2025,56.84883721,0.837209302,78,,No
New Clear Water Bay Road Westbound,Fast Lane,2,West,Y,1/3/2025,72.05813953,0.575581395,89,,No
New Clear Water Bay Road Westbound,Slow Lane,2,West,Y,1/3/2025,66.44186047,0.593023256,46,,No
Prince Edward Road Northeastbound,Fast Lane,2,North East,Y,1/3/2025,79.39534884,0.709302326,198,,No
Prince Edward Road Northeastbound,Slow Lane,2,North East,Y,1/3/2025,72.95348837,2.034883721,317,,No
Prince Edward Road Northeastbound,Middle Lane,2,North East,Y,1/3/2025,87.72093023,1.755813953,145,,No
Prince Edward Road Southeastbound,Fast Lane,2,South West,Y,1/3/2025,87.98837209,2.76744186,213,,No
Prince Edward Road Southeastbound,Slow Lane,2,South West,Y,1/3/2025,77.19767442,0.709302326,61,,No
Kwun Tong Road Westbound,Fast Lane,3,North West,Y,1/3/2025,59.8,0.735555556,469,,No
Kwun Tong Road Westbound,Middle Lane 1,3,North West,Y,1/3/2025,59.78611111,1,598,,No
Kwun Tong Road Westbound,Middle Lane 2,3,North West,Y,1/3/2025,58.93611111,0.733333333,429,,No
Kwun Tong Road Westbound,Slow Lane,3,North West,Y,1/3/2025,57.86444444,0.582222222,282,,No
Kwun Tong Road Westbound,Fast Lane,3,North,Y,1/3/2025,76.95555556,1.077777778,149,,No
Kwun Tong Road Westbound,Middle Lane,3,North,Y,1/3/2025,72.83333333,0.666666667,134,,No
Kwun Tong Road Westbound,Slow Lane,3,North,Y,1/3/2025,68.82222222,0.177777778,21,,No
Kwun Tong Road Westbound,Middle Lane 3,3,North West,Y,1/3/2025,72.12222222,0.177777778,76,,No
Kwun Tong Road Westbound,Middle Lane 4,3,North West,Y,1/3/2025,75.43333333,1.277777778,295,,No
Kwun Tong Road Eastbound,Fast Lane,3,South East,Y,1/3/2025,65.32156134,0.942379182,735,,No
Kwun Tong Road Eastbound,Middle Lane,3,South East,Y,1/3/2025,60.05555556,0.981481481,356,,No
Kwun Tong Road Eastbound,Slow Lane,3,South East,Y,1/3/2025,59.29925651,0.565055762,539,,No
Kwun Tong Road Eastbound,Middle Lane 1,3,South East,Y,1/3/2025,60.62686567,0.526119403,233,,No
Kwun Tong Road Eastbound,Middle Lane 2,3,South East,Y,1/3/2025,65.42537313,1.794776119,604,,No
Kwun Tong Road Eastbound,Fast Lane,3,South,Y,1/3/2025,73.56666667,1.461111111,472,,No
Kwun Tong Road Eastbound,Middle Lane,3,South,Y,1/3/2025,68.31111111,0.472222222,213,,No
Kwun Tong Road Eastbound,Slow Lane,3,South,Y,1/3/2025,59.16111111,0.361111111,50,,No
New Clear Water Bay Road Eastbound,Fast Lane,3,East,Y,1/3/2025,70.73888889,0.283333333,54,,No
New Clear Water Bay Road Eastbound,Middle Lane,3,East,Y,1/3/2025,65.33333333,1.466666667,108,,No
New Clear Water Bay Road Eastbound,Slow Lane,3,East,Y,1/3/2025,70.86111111,0.355555556,49,,No
New Clear Water Bay Road Eastbound,Fast Lane,3,North West,Y,1/3/2025,68.74444444,0.055555556,5,,No
New Clear Water Bay Road Eastbound,Slow Lane,3,North West,Y,1/3/2025,64.26666667,0.377777778,33,,No
New Clear Water Bay Road Eastbound,Fast Lane,3,South East,Y,1/3/2025,75.14444444,0.466666667,44,,No
New Clear Water Bay Road Eastbound,Middle Lane,3,South East,Y,1/3/2025,72.85555556,0.8,93,,No
New Clear Water Bay Road Eastbound,Slow Lane,3,South East,Y,1/3/2025,69.1,0.077777778,7,,No
New Clear Water Bay Road Westbound,Fast Lane,3,South,Y,1/3/2025,55.84444444,0.333333333,27,,No
New Clear Water Bay Road Westbound,Fast Lane,3,North West,Y,1/3/2025,55.68888889,0.444444444,37,,No
New Clear Water Bay Road Westbound,Slow Lane,3,North West,Y,1/3/2025,54.2,0.722222222,68,,No
New Clear Water Bay Road Westbound,Fast Lane,3,West,Y,1/3/2025,71.49444444,0.416666667,66,,No
New Clear Water Bay Road Westbound,Slow Lane,3,West,Y,1/3/2025,65.55555556,0.755555556,47,,No
Prince Edward Road Northeastbound,Fast Lane,3,North East,Y,1/3/2025,74.72222222,0.388888889,134,,No
Prince Edward Road Northeastbound,Slow Lane,3,North East,Y,1/3/2025,72.85,1.577777778,267,,No
Prince Edward Road Northeastbound,Middle Lane,3,North East,Y,1/3/2025,85.77777778,1.533333333,138,,No
Prince Edward Road Southeastbound,Fast Lane,3,South West,Y,1/3/2025,82.58888889,1.911111111,164,,No
Prince Edward Road Southeastbound,Slow Lane,3,South West,Y,1/3/2025,74.03333333,0.677777778,55,,No
Kwun Tong Road Eastbound,Fast Lane,3,South East,N,1/3/2025,57.5,0,1,,No
Kwun Tong Road Eastbound,Middle Lane 1,3,South East,N,1/3/2025,49.5,0,1,,Yes
Kwun Tong Road Eastbound,Middle Lane 2,3,South East,N,1/3/2025,57,0.5,5,,No
Kwun Tong Road Eastbound,Slow Lane,3,South East,N,1/3/2025,50,0,0,,Yes
Kwun Tong Road Westbound,Fast Lane,4,North West,Y,1/3/2025,59.72173913,0.784782609,505,,No
Kwun Tong Road Westbound,Middle Lane 1,4,North West,Y,1/3/2025,58.66032609,0.752717391,535,,No
Kwun Tong Road Westbound,Middle Lane 2,4,North West,Y,1/3/2025,59.49184783,0.739130435,455,,No
Kwun Tong Road Westbound,Slow Lane,4,North West,Y,1/3/2025,58.44130435,0.404347826,242,,No
Kwun Tong Road Westbound,Fast Lane,4,North,Y,1/3/2025,76.16304348,1.141304348,159,,No
Kwun Tong Road Westbound,Middle Lane,4,North,Y,1/3/2025,70.60869565,0.902173913,138,,No
Kwun Tong Road Westbound,Slow Lane,4,North,Y,1/3/2025,69.70652174,0.152173913,16,,No
Kwun Tong Road Westbound,Middle Lane 3,4,North West,Y,1/3/2025,71.81521739,0.434782609,95,,No
Kwun Tong Road Westbound,Middle Lane 4,4,North West,Y,1/3/2025,72.18478261,1.684782609,310,,No
Kwun Tong Road Eastbound,Fast Lane,4,South East,Y,1/3/2025,66.05839416,0.950729927,736,,No
Kwun Tong Road Eastbound,Middle Lane,4,South East,Y,1/3/2025,57.84057971,1.09057971,379,,No
Kwun Tong Road Eastbound,Slow Lane,4,South East,Y,1/3/2025,58.61861314,0.635036496,492,,No
Kwun Tong Road Eastbound,Middle Lane 1,4,South East,Y,1/3/2025,60.3125,0.448529412,226,,No
Kwun Tong Road Eastbound,Middle Lane 2,4,South East,Y,1/3/2025,64.70588235,1.933823529,611,,No
Kwun Tong Road Eastbound,Fast Lane,4,South,Y,1/3/2025,74.05769231,1.259615385,270,,No
Kwun Tong Road Eastbound,Middle Lane,4,South,Y,1/3/2025,65.85576923,0.394230769,111,,No
Kwun Tong Road Eastbound,Slow Lane,4,South,Y,1/3/2025,52.39423077,0.288461538,24,,No
Kwun Tong Road Eastbound,Fast Lane,4,South East,N,1/3/2025,67.25,0.75,5,,No
Kwun Tong Road Eastbound,Middle Lane 1,4,South East,N,1/3/2025,57.5,0.5,3,,No
Kwun Tong Road Eastbound,Middle Lane 2,4,South East,N,1/3/2025,66.75,1,9,,No
Kwun Tong Road Eastbound,Slow Lane,4,South East,N,1/3/2025,55.25,0,2,,No
New Clear Water Bay Road Eastbound,Fast Lane,4,East,Y,1/3/2025,69.3423913,0.25,48,,No
New Clear Water Bay Road Eastbound,Middle Lane,4,East,Y,1/3/2025,65.59782609,1.391304348,97,,No
New Clear Water Bay Road Eastbound,Slow Lane,4,East,Y,1/3/2025,72.05978261,0.25,38,,No
New Clear Water Bay Road Eastbound,Fast Lane,4,North West,Y,1/3/2025,68.04347826,0.054347826,6,,No
New Clear Water Bay Road Eastbound,Slow Lane,4,North West,Y,1/3/2025,66.14130435,0.260869565,27,,No
New Clear Water Bay Road Eastbound,Fast Lane,4,South East,Y,1/3/2025,70.34782609,0.608695652,49,,No
New Clear Water Bay Road Eastbound,Middle Lane,4,South East,Y,1/3/2025,72.48913043,0.760869565,83,,No
New Clear Water Bay Road Eastbound,Slow Lane,4,South East,Y,1/3/2025,69.85869565,0.032608696,2,,No
New Clear Water Bay Road Westbound,Fast Lane,4,South,Y,1/3/2025,55.75,0.413043478,30,,No
New Clear Water Bay Road Westbound,Fast Lane,4,North West,Y,1/3/2025,54.85869565,0.532608696,45,,No
New Clear Water Bay Road Westbound,Slow Lane,4,North West,Y,1/3/2025,57.06521739,0.804347826,78,,No
New Clear Water Bay Road Westbound,Fast Lane,4,West,Y,1/3/2025,71.25543478,0.434782609,71,,No
New Clear Water Bay Road Westbound,Slow Lane,4,West,Y,1/3/2025,65.41304348,0.75,56,,No
Prince Edward Road Northeastbound,Fast Lane,4,North East,Y,1/3/2025,73.02717391,0.173913043,79,,No
Prince Edward Road Northeastbound,Slow Lane,4,North East,Y,1/3/2025,71.80434783,1.445652174,250,,No
Prince Edward Road Northeastbound,Middle Lane,4,North East,Y,1/3/2025,86.52173913,1.25,118,,No
Prince Edward Road Southeastbound,Fast Lane,4,South West,Y,1/3/2025,79.75,1.804347826,145,,No
Prince Edward Road Southeastbound,Slow Lane,4,South West,Y,1/3/2025,77.14130435,0.489130435,44,,No
Kwun Tong Road Eastbound,Fast Lane,4,South,N,1/3/2025,71.0125,2.2125,223,,No
Kwun Tong Road Eastbound,Middle Lane,4,South,N,1/3/2025,68.65,0.6125,92,,No
Kwun Tong Road Eastbound,Slow Lane,4,South,N,1/3/2025,66.175,0.4375,13,,No
Kwun Tong Road Westbound,Fast Lane,5,North West,Y,1/3/2025,60.1952381,1.15952381,677,,No
Kwun Tong Road Westbound,Middle Lane 1,5,North West,Y,1/3/2025,59.24107143,1.119047619,496,,No
Kwun Tong Road Westbound,Middle Lane 2,5,North West,Y,1/3/2025,59.48214286,0.93452381,472,,No
Kwun Tong Road Westbound,Slow Lane,5,North West,Y,1/3/2025,57.4047619,0.8,310,,No
Kwun Tong Road Westbound,Fast Lane,5,North,Y,1/3/2025,77.19047619,1.583333333,183,,No
Kwun Tong Road Westbound,Middle Lane,5,North,Y,1/3/2025,69.28571429,0.928571429,133,,No
Kwun Tong Road Westbound,Slow Lane,5,North,Y,1/3/2025,65.41666667,1.047619048,39,,No
Kwun Tong Road Westbound,Middle Lane 3,5,North West,Y,1/3/2025,69.1547619,0.738095238,94,,No
Kwun Tong Road Westbound,Middle Lane 4,5,North West,Y,1/3/2025,70.78571429,2.297619048,335,,No
Kwun Tong Road Eastbound,Fast Lane,5,South East,Y,1/3/2025,65.19246032,1.214285714,715,,No
Kwun Tong Road Eastbound,Middle Lane,5,South East,Y,1/3/2025,59.1468254,1.150793651,332,,No
Kwun Tong Road Eastbound,Slow Lane,5,South East,Y,1/3/2025,58.10515873,0.863095238,523,,No
Kwun Tong Road Eastbound,Middle Lane 1,5,South East,Y,1/3/2025,59.6468254,0.853174603,244,,No
Kwun Tong Road Eastbound,Middle Lane 2,5,South East,Y,1/3/2025,65.28571429,2.301587302,599,,No
Kwun Tong Road Eastbound,Fast Lane,5,South,N,1/3/2025,75,2.625,28,,No
Kwun Tong Road Eastbound,Middle Lane,5,South,N,1/3/2025,68.125,0.75,14,,No
Kwun Tong Road Eastbound,Slow Lane,5,South,N,1/3/2025,70,0,0,,No
Kwun Tong Road Eastbound,Fast Lane,5,South,Y,1/3/2025,70.8125,1.85,456,,No
Kwun Tong Road Eastbound,Middle Lane,5,South,Y,1/3/2025,65.9125,0.75625,215,,No
Kwun Tong Road Eastbound,Slow Lane,5,South,Y,1/3/2025,56.63125,0.6875,57,,No
New Clear Water Bay Road Eastbound,Fast Lane,5,East,Y,1/3/2025,69.03571429,0.422619048,73,,No
New Clear Water Bay Road Eastbound,Middle Lane,5,East,Y,1/3/2025,66.94047619,1.976190476,99,,No
New Clear Water Bay Road Eastbound,Slow Lane,5,East,Y,1/3/2025,70.11309524,0.898809524,65,,No
New Clear Water Bay Road Eastbound,Fast Lane,5,North West,Y,1/3/2025,67.61904762,0.142857143,10,,No
New Clear Water Bay Road Eastbound,Slow Lane,5,North West,Y,1/3/2025,62.66666667,0.583333333,32,,No
New Clear Water Bay Road Eastbound,Fast Lane,5,South East,Y,1/3/2025,71.0952381,0.904761905,57,,No
New Clear Water Bay Road Eastbound,Middle Lane,5,South East,Y,1/3/2025,71.5,0.916666667,88,,No
New Clear Water Bay Road Eastbound,Slow Lane,5,South East,Y,1/3/2025,70.10714286,0.238095238,16,,No
New Clear Water Bay Road Westbound,Fast Lane,5,South,Y,1/3/2025,58.33333333,0.880952381,50,,No
New Clear Water Bay Road Westbound,Fast Lane,5,North West,Y,1/3/2025,55.76190476,1.5,93,,No
New Clear Water Bay Road Westbound,Slow Lane,5,North West,Y,1/3/2025,56.44047619,1.083333333,96,,No
New Clear Water Bay Road Westbound,Fast Lane,5,West,Y,1/3/2025,73.35119048,0.976190476,125,,No
New Clear Water Bay Road Westbound,Slow Lane,5,West,Y,1/3/2025,64.88095238,1.047619048,61,,No
Prince Edward Road Northeastbound,Fast Lane,5,North East,Y,1/3/2025,73.08928571,0.232142857,88,,No
Prince Edward Road Northeastbound,Slow Lane,5,North East,Y,1/3/2025,72.80357143,1.702380952,248,,No
Prince Edward Road Northeastbound,Middle Lane,5,North East,Y,1/3/2025,86.66666667,1.535714286,123,,No
Prince Edward Road Southeastbound,Fast Lane,5,South West,Y,1/3/2025,81.46428571,1.5,115,,No
Prince Edward Road Southeastbound,Slow Lane,5,South West,Y,1/3/2025,74.3452381,0.452380952,39,,No
Kwun Tong Road Westbound,Fast Lane,6,North West,Y,1/3/2025,59.18490566,2.116981132,1424,,No
Kwun Tong Road Westbound,Middle Lane 1,6,North West,Y,1/3/2025,57.92688679,1.83254717,830,,No
Kwun Tong Road Westbound,Middle Lane 2,6,North West,Y,1/3/2025,58.60613208,1.844339623,936,,No
Kwun Tong Road Westbound,Slow Lane,6,North West,Y,1/3/2025,53.31509434,1.520754717,494,,No
Kwun Tong Road Westbound,Fast Lane,6,North,Y,1/3/2025,75.55660377,3.113207547,395,,No
Kwun Tong Road Westbound,Middle Lane,6,North,Y,1/3/2025,73.39622642,1.669811321,247,,No
Kwun Tong Road Westbound,Slow Lane,6,North,Y,1/3/2025,56.75471698,3.141509434,107,,No
Kwun Tong Road Westbound,Middle Lane 3,6,North West,Y,1/3/2025,65,1.028301887,130,,No
Kwun Tong Road Westbound,Middle Lane 4,6,North West,Y,1/3/2025,70.04716981,2.91509434,497,,No
Kwun Tong Road Eastbound,Fast Lane,6,South East,Y,1/3/2025,65.77830189,2.117924528,1595,,No
Kwun Tong Road Eastbound,Middle Lane,6,South East,Y,1/3/2025,58.13522013,2.559748428,616,,No
Kwun Tong Road Eastbound,Slow Lane,6,South East,Y,1/3/2025,56.05660377,2.150943396,1035,,No
Kwun Tong Road Eastbound,Middle Lane 1,6,South East,Y,1/3/2025,57.1509434,2.323899371,510,,No
Kwun Tong Road Eastbound,Middle Lane 2,6,South East,Y,1/3/2025,62.92767296,3.86163522,963,,No
Kwun Tong Road Eastbound,Fast Lane,6,South,Y,1/3/2025,71.74056604,3.216981132,889,,No
Kwun Tong Road Eastbound,Middle Lane,6,South,Y,1/3/2025,60.02358491,2.589622642,377,,No
Kwun Tong Road Eastbound,Slow Lane,6,South,Y,1/3/2025,55.86792453,1.174528302,111,,No
New Clear Water Bay Road Eastbound,Fast Lane,6,East,Y,1/3/2025,71.16037736,1.29245283,186,,No
New Clear Water Bay Road Eastbound,Middle Lane,6,East,Y,1/3/2025,61.68867925,3.952830189,196,,No
New Clear Water Bay Road Eastbound,Slow Lane,6,East,Y,1/3/2025,70.74528302,1.70754717,136,,No
New Clear Water Bay Road Eastbound,Fast Lane,6,North West,Y,1/3/2025,67.81132075,0.122641509,17,,No
New Clear Water Bay Road Eastbound,Slow Lane,6,North West,Y,1/3/2025,56.82075472,1.113207547,80,,No
New Clear Water Bay Road Eastbound,Fast Lane,6,South East,Y,1/3/2025,78.47169811,2.094339623,158,,No
New Clear Water Bay Road Eastbound,Middle Lane,6,South East,Y,1/3/2025,69.39622642,1.990566038,189,,No
New Clear Water Bay Road Eastbound,Slow Lane,6,South East,Y,1/3/2025,63.85849057,2.009433962,45,,No
New Clear Water Bay Road Westbound,Fast Lane,6,South,Y,1/3/2025,61.83962264,2.471698113,143,,No
New Clear Water Bay Road Westbound,Fast Lane,6,North West,Y,1/3/2025,61,3.518867925,282,,No
New Clear Water Bay Road Westbound,Slow Lane,6,North West,Y,1/3/2025,60.73584906,1.349056604,159,,No
New Clear Water Bay Road Westbound,Fast Lane,6,West,Y,1/3/2025,73.26886792,2.481132075,326,,No
New Clear Water Bay Road Westbound,Slow Lane,6,West,Y,1/3/2025,63.35849057,2.235849057,148,,No
