Road,Lane,Hour,Direction,Valid,Date,Average_Speed,Average_Occupancy,Total_Volume
Prince Edward Road Northeastbound,Fast Lane,00,North East,Y,2025-02-28,66.0,2.25,11
Prince Edward Road Northeastbound,Slow Lane,00,North East,Y,2025-02-28,69.75,3.25,14
Prince Edward Road Northeastbound,Middle Lane,00,North East,Y,2025-02-28,88.0,6.5,11
Prince Edward Road Southeastbound,Fast Lane,00,South West,Y,2025-02-28,78.5,2.5,5
Prince Edward Road Southeastbound,Slow Lane,00,South West,Y,2025-02-28,72.5,0.5,3
Kwun Tong Road Westbound,Fast Lane,00,North West,Y,2025-03-01,60.15,1.56,879
Kwun Tong Road Westbound,Middle Lane 1,00,North West,Y,2025-03-01,56.678125,2.115625,983
Kwun Tong Road Westbound,Middle Lane 2,00,North West,Y,2025-03-01,56.26875,1.265625,605
Kwun Tong Road Westbound,Slow Lane,00,North West,Y,2025-03-01,55.205,1.165,463
Kwun Tong Road Westbound,Fast Lane,00,North,Y,2025-03-01,76.025,2.4625,279
Kwun Tong Road Westbound,Middle Lane,00,North,Y,2025-03-01,69.4625,1.7125,241
Kwun Tong Road Westbound,Slow Lane,00,North,Y,2025-03-01,63.1875,1.825,65
Kwun Tong Road Westbound,Middle Lane 3,00,North West,Y,2025-03-01,70.25,1.0375,164
Kwun Tong Road Westbound,Middle Lane 4,00,North West,Y,2025-03-01,69.425,2.7125,436
Kwun Tong Road Eastbound,Fast Lane,00,South East,Y,2025-03-01,63.97291666666667,2.9541666666666666,1580
Kwun Tong Road Eastbound,Middle Lane,00,South East,Y,2025-03-01,55.99166666666667,3.0,567
Kwun Tong Road Eastbound,Slow Lane,00,South East,Y,2025-03-01,55.447916666666664,2.0791666666666666,975
Kwun Tong Road Eastbound,Middle Lane 1,00,South East,Y,2025-03-01,56.891666666666666,2.029166666666667,402
Kwun Tong Road Eastbound,Middle Lane 2,00,South East,Y,2025-03-01,59.958333333333336,4.566666666666666,952
Kwun Tong Road Eastbound,Fast Lane,00,South,Y,2025-03-01,69.93125,3.53125,897
Kwun Tong Road Eastbound,Middle Lane,00,South,Y,2025-03-01,62.325,1.51875,304
Kwun Tong Road Eastbound,Slow Lane,00,South,Y,2025-03-01,57.49375,0.99375,85
New Clear Water Bay Road Eastbound,Fast Lane,00,East,Y,2025-03-01,69.84810126582279,1.1329113924050633,138
New Clear Water Bay Road Eastbound,Middle Lane,00,East,Y,2025-03-01,65.43037974683544,3.151898734177215,159
New Clear Water Bay Road Eastbound,Slow Lane,00,East,Y,2025-03-01,69.93037974683544,1.3924050632911393,114
New Clear Water Bay Road Eastbound,Fast Lane,00,North West,Y,2025-03-01,65.0632911392405,0.2911392405063291,21
New Clear Water Bay Road Eastbound,Slow Lane,00,North West,Y,2025-03-01,57.11392405063291,1.4936708860759493,78
New Clear Water Bay Road Eastbound,Fast Lane,00,South East,Y,2025-03-01,72.36708860759494,2.2025316455696204,122
New Clear Water Bay Road Eastbound,Middle Lane,00,South East,Y,2025-03-01,72.9873417721519,2.4556962025316458,164
New Clear Water Bay Road Eastbound,Slow Lane,00,South East,Y,2025-03-01,65.11392405063292,1.3164556962025316,18
New Clear Water Bay Road Westbound,Fast Lane,00,South,Y,2025-03-01,58.922077922077925,1.8831168831168832,82
New Clear Water Bay Road Westbound,Fast Lane,00,North West,Y,2025-03-01,56.49367088607595,1.8481012658227849,91
New Clear Water Bay Road Westbound,Slow Lane,00,North West,Y,2025-03-01,56.45569620253165,2.1139240506329116,121
New Clear Water Bay Road Westbound,Fast Lane,00,West,Y,2025-03-01,72.06962025316456,1.6075949367088607,189
New Clear Water Bay Road Westbound,Slow Lane,00,West,Y,2025-03-01,62.32911392405063,1.7468354430379747,100
Prince Edward Road Northeastbound,Fast Lane,00,North East,Y,2025-03-01,77.06410256410257,1.7884615384615385,335
Prince Edward Road Northeastbound,Slow Lane,00,North East,Y,2025-03-01,72.76923076923077,3.4935897435897436,431
Prince Edward Road Northeastbound,Middle Lane,00,North East,Y,2025-03-01,85.57142857142857,3.090909090909091,203
Prince Edward Road Southeastbound,Fast Lane,00,South West,Y,2025-03-01,84.40506329113924,4.139240506329114,286
Prince Edward Road Southeastbound,Slow Lane,00,South West,Y,2025-03-01,84.75949367088607,1.139240506329114,96
Kwun Tong Road Westbound,Fast Lane,01,North West,Y,2025-03-01,60.464444444444446,1.2044444444444444,728
Kwun Tong Road Westbound,Middle Lane 1,01,North West,Y,2025-03-01,58.86944444444445,1.3972222222222221,916
Kwun Tong Road Westbound,Middle Lane 2,01,North West,Y,2025-03-01,58.33611111111111,0.8805555555555555,527
Kwun Tong Road Westbound,Slow Lane,01,North West,Y,2025-03-01,56.05555555555556,0.8422222222222222,323
Kwun Tong Road Westbound,Fast Lane,01,North,Y,2025-03-01,75.97777777777777,1.5222222222222221,214
Kwun Tong Road Westbound,Middle Lane,01,North,Y,2025-03-01,70.75555555555556,1.4444444444444444,221
Kwun Tong Road Westbound,Slow Lane,01,North,Y,2025-03-01,67.81111111111112,0.25555555555555554,35
Kwun Tong Road Westbound,Middle Lane 3,01,North West,Y,2025-03-01,70.97777777777777,0.6777777777777778,160
Kwun Tong Road Westbound,Middle Lane 4,01,North West,Y,2025-03-01,71.0,2.1777777777777776,381
Kwun Tong Road Eastbound,Fast Lane,01,South East,Y,2025-03-01,66.78888888888889,1.9925925925925927,1332
Kwun Tong Road Eastbound,Middle Lane,01,South East,Y,2025-03-01,57.837037037037035,1.711111111111111,527
Kwun Tong Road Eastbound,Slow Lane,01,South East,Y,2025-03-01,58.25925925925926,1.2925925925925925,859
Kwun Tong Road Eastbound,Middle Lane 1,01,South East,Y,2025-03-01,60.03333333333333,1.0074074074074073,409
Kwun Tong Road Eastbound,Middle Lane 2,01,South East,Y,2025-03-01,63.681481481481484,3.5296296296296297,933
Kwun Tong Road Eastbound,Fast Lane,01,South,Y,2025-03-01,71.93103448275862,2.7241379310344827,767
Kwun Tong Road Eastbound,Middle Lane,01,South,Y,2025-03-01,64.64367816091954,0.9195402298850575,250
Kwun Tong Road Eastbound,Slow Lane,01,South,Y,2025-03-01,60.31609195402299,0.3390804597701149,65
New Clear Water Bay Road Eastbound,Fast Lane,01,East,Y,2025-03-01,70.16477272727273,0.5965909090909091,100
New Clear Water Bay Road Eastbound,Middle Lane,01,East,Y,2025-03-01,65.06666666666666,2.3333333333333335,154
New Clear Water Bay Road Eastbound,Slow Lane,01,East,Y,2025-03-01,72.05681818181819,0.8238636363636364,99
New Clear Water Bay Road Eastbound,Fast Lane,01,North West,Y,2025-03-01,67.28888888888889,0.16666666666666666,17
New Clear Water Bay Road Eastbound,Slow Lane,01,North West,Y,2025-03-01,60.56666666666667,0.7222222222222222,63
New Clear Water Bay Road Eastbound,Fast Lane,01,South East,Y,2025-03-01,73.56666666666666,1.3555555555555556,88
New Clear Water Bay Road Eastbound,Middle Lane,01,South East,Y,2025-03-01,72.94444444444444,1.988888888888889,157
New Clear Water Bay Road Eastbound,Slow Lane,01,South East,Y,2025-03-01,69.86666666666666,0.2111111111111111,13
New Clear Water Bay Road Westbound,Fast Lane,01,South,Y,2025-03-01,61.18888888888889,1.288888888888889,79
New Clear Water Bay Road Westbound,Fast Lane,01,North West,Y,2025-03-01,57.766666666666666,1.0666666666666667,77
New Clear Water Bay Road Westbound,Slow Lane,01,North West,Y,2025-03-01,55.82222222222222,1.4333333333333333,120
New Clear Water Bay Road Westbound,Fast Lane,01,West,Y,2025-03-01,72.68333333333334,1.0666666666666667,162
New Clear Water Bay Road Westbound,Slow Lane,01,West,Y,2025-03-01,62.522222222222226,1.1333333333333333,79
Prince Edward Road Northeastbound,Fast Lane,01,North East,Y,2025-03-01,77.83888888888889,1.1444444444444444,297
Prince Edward Road Northeastbound,Slow Lane,01,North East,Y,2025-03-01,75.4,2.7055555555555557,418
Prince Edward Road Northeastbound,Middle Lane,01,North East,Y,2025-03-01,84.73333333333333,2.433333333333333,187
Prince Edward Road Southeastbound,Fast Lane,01,South West,Y,2025-03-01,84.82222222222222,3.2,263
Prince Edward Road Southeastbound,Slow Lane,01,South West,Y,2025-03-01,77.8,0.8777777777777778,81
New Clear Water Bay Road Eastbound,Fast Lane,01,East,N,2025-03-01,67.25,1.0,2
New Clear Water Bay Road Eastbound,Slow Lane,01,East,N,2025-03-01,70.0,0.0,0
Kwun Tong Road Eastbound,Fast Lane,01,South,N,2025-03-01,70.5,1.0,12
Kwun Tong Road Eastbound,Middle Lane,01,South,N,2025-03-01,66.83333333333333,0.8333333333333334,11
Kwun Tong Road Eastbound,Slow Lane,01,South,N,2025-03-01,70.0,0.0,0
Kwun Tong Road Westbound,Fast Lane,02,North West,Y,2025-03-01,59.79302325581396,0.8348837209302326,545
Kwun Tong Road Westbound,Middle Lane 1,02,North West,Y,2025-03-01,58.825581395348834,1.063953488372093,714
Kwun Tong Road Westbound,Middle Lane 2,02,North West,Y,2025-03-01,59.491279069767444,0.6511627906976745,438
Kwun Tong Road Westbound,Slow Lane,02,North West,Y,2025-03-01,57.74883720930232,0.5744186046511628,325
Kwun Tong Road Westbound,Fast Lane,02,North,Y,2025-03-01,78.20930232558139,1.4651162790697674,189
Kwun Tong Road Westbound,Middle Lane,02,North,Y,2025-03-01,71.46511627906976,0.8953488372093024,158
Kwun Tong Road Westbound,Slow Lane,02,North,Y,2025-03-01,69.20930232558139,0.06976744186046512,24
Kwun Tong Road Westbound,Middle Lane 3,02,North West,Y,2025-03-01,73.09302325581395,0.20930232558139536,117
Kwun Tong Road Westbound,Middle Lane 4,02,North West,Y,2025-03-01,74.44186046511628,1.3604651162790697,310
Kwun Tong Road Eastbound,Fast Lane,02,South East,Y,2025-03-01,66.27131782945736,1.372093023255814,977
Kwun Tong Road Eastbound,Middle Lane,02,South East,Y,2025-03-01,58.372093023255815,1.1511627906976745,377
Kwun Tong Road Eastbound,Slow Lane,02,South East,Y,2025-03-01,58.01550387596899,0.8449612403100775,627
Kwun Tong Road Eastbound,Middle Lane 1,02,South East,Y,2025-03-01,59.5968992248062,0.5232558139534884,257
Kwun Tong Road Eastbound,Middle Lane 2,02,South East,Y,2025-03-01,64.7984496124031,2.2286821705426356,726
Kwun Tong Road Eastbound,Fast Lane,02,South,Y,2025-03-01,73.22093023255815,1.8372093023255813,544
Kwun Tong Road Eastbound,Middle Lane,02,South,Y,2025-03-01,68.30232558139535,0.4476744186046512,212
Kwun Tong Road Eastbound,Slow Lane,02,South,Y,2025-03-01,59.81395348837209,0.12209302325581395,42
New Clear Water Bay Road Eastbound,Fast Lane,02,East,Y,2025-03-01,70.94186046511628,0.25,54
New Clear Water Bay Road Eastbound,Middle Lane,02,East,Y,2025-03-01,67.43023255813954,1.7674418604651163,127
New Clear Water Bay Road Eastbound,Slow Lane,02,East,Y,2025-03-01,69.4186046511628,0.4418604651162791,46
New Clear Water Bay Road Eastbound,Fast Lane,02,North West,Y,2025-03-01,66.63953488372093,0.1511627906976744,15
New Clear Water Bay Road Eastbound,Slow Lane,02,North West,Y,2025-03-01,63.83720930232558,0.3488372093023256,31
New Clear Water Bay Road Eastbound,Fast Lane,02,South East,Y,2025-03-01,73.10714285714286,0.3333333333333333,35
New Clear Water Bay Road Eastbound,Middle Lane,02,South East,Y,2025-03-01,72.08333333333333,1.3452380952380953,118
New Clear Water Bay Road Eastbound,Slow Lane,02,South East,Y,2025-03-01,69.6547619047619,0.13095238095238096,7
New Clear Water Bay Road Westbound,Fast Lane,02,South,Y,2025-03-01,56.95348837209303,0.4418604651162791,29
New Clear Water Bay Road Westbound,Fast Lane,02,North West,Y,2025-03-01,56.08139534883721,0.6976744186046512,55
New Clear Water Bay Road Westbound,Slow Lane,02,North West,Y,2025-03-01,56.848837209302324,0.8372093023255814,78
New Clear Water Bay Road Westbound,Fast Lane,02,West,Y,2025-03-01,72.05813953488372,0.5755813953488372,89
New Clear Water Bay Road Westbound,Slow Lane,02,West,Y,2025-03-01,66.44186046511628,0.5930232558139535,46
Prince Edward Road Northeastbound,Fast Lane,02,North East,Y,2025-03-01,79.3953488372093,0.7093023255813954,198
Prince Edward Road Northeastbound,Slow Lane,02,North East,Y,2025-03-01,72.95348837209302,2.0348837209302326,317
Prince Edward Road Northeastbound,Middle Lane,02,North East,Y,2025-03-01,87.72093023255815,1.755813953488372,145
Prince Edward Road Southeastbound,Fast Lane,02,South West,Y,2025-03-01,87.98837209302326,2.7674418604651163,213
Prince Edward Road Southeastbound,Slow Lane,02,South West,Y,2025-03-01,77.19767441860465,0.7093023255813954,61
Kwun Tong Road Westbound,Fast Lane,03,North West,Y,2025-03-01,59.8,0.7355555555555555,469
Kwun Tong Road Westbound,Middle Lane 1,03,North West,Y,2025-03-01,59.78611111111111,1.0,598
Kwun Tong Road Westbound,Middle Lane 2,03,North West,Y,2025-03-01,58.93611111111111,0.7333333333333333,429
Kwun Tong Road Westbound,Slow Lane,03,North West,Y,2025-03-01,57.864444444444445,0.5822222222222222,282
Kwun Tong Road Westbound,Fast Lane,03,North,Y,2025-03-01,76.95555555555555,1.0777777777777777,149
Kwun Tong Road Westbound,Middle Lane,03,North,Y,2025-03-01,72.83333333333333,0.6666666666666666,134
Kwun Tong Road Westbound,Slow Lane,03,North,Y,2025-03-01,68.82222222222222,0.17777777777777778,21
Kwun Tong Road Westbound,Middle Lane 3,03,North West,Y,2025-03-01,72.12222222222222,0.17777777777777778,76
Kwun Tong Road Westbound,Middle Lane 4,03,North West,Y,2025-03-01,75.43333333333334,1.2777777777777777,295
Kwun Tong Road Eastbound,Fast Lane,03,South East,Y,2025-03-01,65.32156133828997,0.9423791821561338,735
Kwun Tong Road Eastbound,Middle Lane,03,South East,Y,2025-03-01,60.05555555555556,0.9814814814814815,356
Kwun Tong Road Eastbound,Slow Lane,03,South East,Y,2025-03-01,59.29925650557621,0.5650557620817844,539
Kwun Tong Road Eastbound,Middle Lane 1,03,South East,Y,2025-03-01,60.62686567164179,0.5261194029850746,233
Kwun Tong Road Eastbound,Middle Lane 2,03,South East,Y,2025-03-01,65.42537313432835,1.794776119402985,604
Kwun Tong Road Eastbound,Fast Lane,03,South,Y,2025-03-01,73.56666666666666,1.461111111111111,472
Kwun Tong Road Eastbound,Middle Lane,03,South,Y,2025-03-01,68.31111111111112,0.4722222222222222,213
Kwun Tong Road Eastbound,Slow Lane,03,South,Y,2025-03-01,59.16111111111111,0.3611111111111111,50
New Clear Water Bay Road Eastbound,Fast Lane,03,East,Y,2025-03-01,70.7388888888889,0.2833333333333333,54
New Clear Water Bay Road Eastbound,Middle Lane,03,East,Y,2025-03-01,65.33333333333333,1.4666666666666666,108
New Clear Water Bay Road Eastbound,Slow Lane,03,East,Y,2025-03-01,70.86111111111111,0.35555555555555557,49
New Clear Water Bay Road Eastbound,Fast Lane,03,North West,Y,2025-03-01,68.74444444444444,0.05555555555555555,5
New Clear Water Bay Road Eastbound,Slow Lane,03,North West,Y,2025-03-01,64.26666666666667,0.37777777777777777,33
New Clear Water Bay Road Eastbound,Fast Lane,03,South East,Y,2025-03-01,75.14444444444445,0.4666666666666667,44
New Clear Water Bay Road Eastbound,Middle Lane,03,South East,Y,2025-03-01,72.85555555555555,0.8,93
New Clear Water Bay Road Eastbound,Slow Lane,03,South East,Y,2025-03-01,69.1,0.07777777777777778,7
New Clear Water Bay Road Westbound,Fast Lane,03,South,Y,2025-03-01,55.84444444444444,0.3333333333333333,27
New Clear Water Bay Road Westbound,Fast Lane,03,North West,Y,2025-03-01,55.68888888888889,0.4444444444444444,37
New Clear Water Bay Road Westbound,Slow Lane,03,North West,Y,2025-03-01,54.2,0.7222222222222222,68
New Clear Water Bay Road Westbound,Fast Lane,03,West,Y,2025-03-01,71.49444444444444,0.4166666666666667,66
New Clear Water Bay Road Westbound,Slow Lane,03,West,Y,2025-03-01,65.55555555555556,0.7555555555555555,47
Prince Edward Road Northeastbound,Fast Lane,03,North East,Y,2025-03-01,74.72222222222223,0.3888888888888889,134
Prince Edward Road Northeastbound,Slow Lane,03,North East,Y,2025-03-01,72.85,1.5777777777777777,267
Prince Edward Road Northeastbound,Middle Lane,03,North East,Y,2025-03-01,85.77777777777777,1.5333333333333334,138
Prince Edward Road Southeastbound,Fast Lane,03,South West,Y,2025-03-01,82.58888888888889,1.9111111111111112,164
Prince Edward Road Southeastbound,Slow Lane,03,South West,Y,2025-03-01,74.03333333333333,0.6777777777777778,55
Kwun Tong Road Eastbound,Fast Lane,03,South East,N,2025-03-01,57.5,0.0,1
Kwun Tong Road Eastbound,Middle Lane 1,03,South East,N,2025-03-01,49.5,0.0,1
Kwun Tong Road Eastbound,Middle Lane 2,03,South East,N,2025-03-01,57.0,0.5,5
Kwun Tong Road Eastbound,Slow Lane,03,South East,N,2025-03-01,50.0,0.0,0
Kwun Tong Road Westbound,Fast Lane,04,North West,Y,2025-03-01,59.721739130434784,0.7847826086956522,505
Kwun Tong Road Westbound,Middle Lane 1,04,North West,Y,2025-03-01,58.66032608695652,0.7527173913043478,535
Kwun Tong Road Westbound,Middle Lane 2,04,North West,Y,2025-03-01,59.49184782608695,0.7391304347826086,455
Kwun Tong Road Westbound,Slow Lane,04,North West,Y,2025-03-01,58.44130434782609,0.4043478260869565,242
Kwun Tong Road Westbound,Fast Lane,04,North,Y,2025-03-01,76.16304347826087,1.141304347826087,159
Kwun Tong Road Westbound,Middle Lane,04,North,Y,2025-03-01,70.6086956521739,0.9021739130434783,138
Kwun Tong Road Westbound,Slow Lane,04,North,Y,2025-03-01,69.70652173913044,0.15217391304347827,16
Kwun Tong Road Westbound,Middle Lane 3,04,North West,Y,2025-03-01,71.81521739130434,0.43478260869565216,95
Kwun Tong Road Westbound,Middle Lane 4,04,North West,Y,2025-03-01,72.18478260869566,1.684782608695652,310
Kwun Tong Road Eastbound,Fast Lane,04,South East,Y,2025-03-01,66.05839416058394,0.9507299270072993,736
Kwun Tong Road Eastbound,Middle Lane,04,South East,Y,2025-03-01,57.84057971014493,1.0905797101449275,379
Kwun Tong Road Eastbound,Slow Lane,04,South East,Y,2025-03-01,58.61861313868613,0.635036496350365,492
Kwun Tong Road Eastbound,Middle Lane 1,04,South East,Y,2025-03-01,60.3125,0.4485294117647059,226
Kwun Tong Road Eastbound,Middle Lane 2,04,South East,Y,2025-03-01,64.70588235294117,1.9338235294117647,611
Kwun Tong Road Eastbound,Fast Lane,04,South,Y,2025-03-01,74.0576923076923,1.2596153846153846,270
Kwun Tong Road Eastbound,Middle Lane,04,South,Y,2025-03-01,65.85576923076923,0.3942307692307692,111
Kwun Tong Road Eastbound,Slow Lane,04,South,Y,2025-03-01,52.39423076923077,0.28846153846153844,24
Kwun Tong Road Eastbound,Fast Lane,04,South East,N,2025-03-01,67.25,0.75,5
Kwun Tong Road Eastbound,Middle Lane 1,04,South East,N,2025-03-01,57.5,0.5,3
Kwun Tong Road Eastbound,Middle Lane 2,04,South East,N,2025-03-01,66.75,1.0,9
Kwun Tong Road Eastbound,Slow Lane,04,South East,N,2025-03-01,55.25,0.0,2
New Clear Water Bay Road Eastbound,Fast Lane,04,East,Y,2025-03-01,69.34239130434783,0.25,48
New Clear Water Bay Road Eastbound,Middle Lane,04,East,Y,2025-03-01,65.59782608695652,1.391304347826087,97
New Clear Water Bay Road Eastbound,Slow Lane,04,East,Y,2025-03-01,72.05978260869566,0.25,38
New Clear Water Bay Road Eastbound,Fast Lane,04,North West,Y,2025-03-01,68.04347826086956,0.05434782608695652,6
New Clear Water Bay Road Eastbound,Slow Lane,04,North West,Y,2025-03-01,66.1413043478261,0.2608695652173913,27
New Clear Water Bay Road Eastbound,Fast Lane,04,South East,Y,2025-03-01,70.34782608695652,0.6086956521739131,49
New Clear Water Bay Road Eastbound,Middle Lane,04,South East,Y,2025-03-01,72.48913043478261,0.7608695652173914,83
New Clear Water Bay Road Eastbound,Slow Lane,04,South East,Y,2025-03-01,69.8586956521739,0.03260869565217391,2
New Clear Water Bay Road Westbound,Fast Lane,04,South,Y,2025-03-01,55.75,0.41304347826086957,30
New Clear Water Bay Road Westbound,Fast Lane,04,North West,Y,2025-03-01,54.858695652173914,0.532608695652174,45
New Clear Water Bay Road Westbound,Slow Lane,04,North West,Y,2025-03-01,57.06521739130435,0.8043478260869565,78
New Clear Water Bay Road Westbound,Fast Lane,04,West,Y,2025-03-01,71.2554347826087,0.43478260869565216,71
New Clear Water Bay Road Westbound,Slow Lane,04,West,Y,2025-03-01,65.41304347826087,0.75,56
Prince Edward Road Northeastbound,Fast Lane,04,North East,Y,2025-03-01,73.02717391304348,0.17391304347826086,79
Prince Edward Road Northeastbound,Slow Lane,04,North East,Y,2025-03-01,71.80434782608695,1.4456521739130435,250
Prince Edward Road Northeastbound,Middle Lane,04,North East,Y,2025-03-01,86.52173913043478,1.25,118
Prince Edward Road Southeastbound,Fast Lane,04,South West,Y,2025-03-01,79.75,1.8043478260869565,145
Prince Edward Road Southeastbound,Slow Lane,04,South West,Y,2025-03-01,77.1413043478261,0.4891304347826087,44
Kwun Tong Road Eastbound,Fast Lane,04,South,N,2025-03-01,71.0125,2.2125,223
